"FinancialYear","HBR","HBRQF","NumberOfStays","EASRStays"
"1996/97","S92000003","d",2958,51.1322963646407
"1997/98","S92000003","d",3378,59.4760747705715
"1998/99","S92000003","d",4128,73.6675888810796
"1999/00","S92000003","d",4539,81.9081794098485
"2000/01","S92000003","d",4965,90.8779897840233
"2001/02","S92000003","d",5220,96.3573684034411
"2002/03","S92000003","d",5469,102.040245121026
"2003/04","S92000003","d",5064,95.6132662009056
"2004/05","S92000003","d",5112,96.6412552821294
"2005/06","S92000003","d",4974,94.0420598862756
"2006/07","S92000003","d",5505,103.962061620505
"2007/08","S92000003","d",6264,117.584375388916
"2008/09","S92000003","d",6639,124.725781602867
"2009/10","S92000003","d",6492,122.545721333108
"2010/11","S92000003","d",6960,131.09754497551
"2011/12","S92000003","d",7074,132.752540913733
"2012/13","S92000003","d",6477,122.350629401567
"2013/14","S92000003","d",7317,138.950380731635
"2014/15","S92000003","d",7881,149.75634711421
"2015/16","S92000003","d",8463,161.224871452413
"2016/17","S92000003","d",9531,182.429338870751
"2017/18","S92000003","d",10515,201.618048113413
"2018/19","S92000003","d",11535,222.602524724318
"2019/20","S92000003","d",12969,249.5496745242
"2020/21","S92000003","d",12486,241.163599516531
"2021/22","S92000003","d",10824,209.466980216511
"2022/23","S92000003","d",8001,154.101221219751
"2023/24","S92000003","d",9369,178.85652672103
"1996/97","S08000015","",207,51.827565737757
"1997/98","S08000015","",225,56.741724682485
"1998/99","S08000015","",345,90.9356930802506
"1999/00","S08000015","",354,95.6995816881956
"2000/01","S08000015","",447,121.141604156756
"2001/02","S08000015","",612,169.80654739298
"2002/03","S08000015","",627,178.917023744622
"2003/04","S08000015","",618,177.715338598411
"2004/05","S08000015","",690,196.115210119477
"2005/06","S08000015","",630,181.964311480524
"2006/07","S08000015","",708,205.205772323087
"2007/08","S08000015","",792,229.842761712041
"2008/09","S08000015","",780,226.191560824747
"2009/10","S08000015","",756,220.417331858
"2010/11","S08000015","",864,253.649136729913
"2011/12","S08000015","",897,265.775397140669
"2012/13","S08000015","",720,214.579227004286
"2013/14","S08000015","",774,233.470953995669
"2014/15","S08000015","",849,257.23551606862
"2015/16","S08000015","",882,272.629293056869
"2016/17","S08000015","",1137,353.025644702864
"2017/18","S08000015","",1125,349.897535811354
"2018/19","S08000015","",1251,392.43306302274
"2019/20","S08000015","",1239,391.69474226201
"2020/21","S08000015","",1053,335.16020977726
"2021/22","S08000015","",912,286.450431411881
"2022/23","S08000015","",618,194.222869938562
"2023/24","S08000015","",660,206.164046251799
"1996/97","S08000016","",24,21.7237186342271
"1997/98","S08000016","",36,37.076675410693
"1998/99","S08000016","",30,28.9173641772675
"1999/00","S08000016","",33,35.0983965694276
"2000/01","S08000016","",42,47.4577134537204
"2001/02","S08000016","",36,39.3485877135879
"2002/03","S08000016","",60,64.5026970773707
"2003/04","S08000016","",45,47.1634961089008
"2004/05","S08000016","",45,45.2589218694634
"2005/06","S08000016","",57,61.6685671605248
"2006/07","S08000016","",57,62.3046158701842
"2007/08","S08000016","",81,87.7756311920321
"2008/09","S08000016","",75,78.8620370245387
"2009/10","S08000016","",69,75.9324143313618
"2010/11","S08000016","",84,89.1946544682851
"2011/12","S08000016","",102,111.128611388248
"2012/13","S08000016","",81,87.5077869483043
"2013/14","S08000016","",90,98.8600545117847
"2014/15","S08000016","",81,85.5498819347778
"2015/16","S08000016","",87,95.6281739158101
"2016/17","S08000016","",90,92.3379837503541
"2017/18","S08000016","",114,121.876812824756
"2018/19","S08000016","",138,151.731690508158
"2019/20","S08000016","",153,167.383150615332
"2020/21","S08000016","",120,130.996619419925
"2021/22","S08000016","",78,80.8604758090981
"2022/23","S08000016","",57,61.3834116397628
"2023/24","S08000016","",66,70.7889368192079
"1996/97","S08000017","",42,28.6677344529747
"1997/98","S08000017","",72,50.8561299543601
"1998/99","S08000017","",81,58.8394110354528
"1999/00","S08000017","",78,58.4575326665917
"2000/01","S08000017","",90,69.6944406436813
"2001/02","S08000017","",135,106.895006678062
"2002/03","S08000017","",129,102.5690987817
"2003/04","S08000017","",99,80.8415472747992
"2004/05","S08000017","",90,74.4119095083182
"2005/06","S08000017","",105,85.0584422742318
"2006/07","S08000017","",117,92.9659789750942
"2007/08","S08000017","",138,106.741339021455
"2008/09","S08000017","",153,124.360567441309
"2009/10","S08000017","",171,134.892685094757
"2010/11","S08000017","",162,126.141230211355
"2011/12","S08000017","",168,131.242957691116
"2012/13","S08000017","",174,139.210556079313
"2013/14","S08000017","",192,156.146395609821
"2014/15","S08000017","",171,133.348318265915
"2015/16","S08000017","",186,150.598661326491
"2016/17","S08000017","",234,194.075564197138
"2017/18","S08000017","",276,231.180600221725
"2018/19","S08000017","",276,233.75135851089
"2019/20","S08000017","",309,264.326667731541
"2020/21","S08000017","",285,244.852662517741
"2021/22","S08000017","",246,213.60317305385
"2022/23","S08000017","",186,157.787997897741
"2023/24","S08000017","",231,197.63789380509
"1996/97","S08000029","",126,33.0127713750612
"1997/98","S08000029","",120,32.105695180075
"1998/99","S08000029","",165,44.114099823198
"1999/00","S08000029","",243,67.2620314316653
"2000/01","S08000029","",300,84.3706415484255
"2001/02","S08000029","",234,65.3954006270333
"2002/03","S08000029","",264,73.8635016282497
"2003/04","S08000029","",276,78.6392831209257
"2004/05","S08000029","",354,99.8229258674799
"2005/06","S08000029","",390,109.217128656984
"2006/07","S08000029","",399,113.040853077098
"2007/08","S08000029","",405,112.151655794112
"2008/09","S08000029","",441,124.523926042112
"2009/10","S08000029","",441,125.197296273835
"2010/11","S08000029","",399,112.919341532869
"2011/12","S08000029","",462,132.627076448355
"2012/13","S08000029","",582,166.476022701874
"2013/14","S08000029","",750,216.316688993398
"2014/15","S08000029","",675,194.823713614792
"2015/16","S08000029","",645,187.958843464181
"2016/17","S08000029","",756,221.306333602431
"2017/18","S08000029","",855,249.228238848531
"2018/19","S08000029","",990,294.876588950886
"2019/20","S08000029","",1005,298.000690970816
"2020/21","S08000029","",957,283.296792404111
"2021/22","S08000029","",879,258.611748321734
"2022/23","S08000029","",816,240.019010354136
"2023/24","S08000029","",1101,320.52997424328
"1996/97","S08000019","",99,32.759511235241
"1997/98","S08000019","",108,36.48293002561
"1998/99","S08000019","",150,49.8820773396732
"1999/00","S08000019","",177,59.3310663417619
"2000/01","S08000019","",147,50.5730577658757
"2001/02","S08000019","",180,63.0440635810341
"2002/03","S08000019","",210,71.8964822792626
"2003/04","S08000019","",156,54.0616260775233
"2004/05","S08000019","",156,54.1109727601566
"2005/06","S08000019","",126,42.9355310532232
"2006/07","S08000019","",132,44.7051473700338
"2007/08","S08000019","",180,61.190650957402
"2008/09","S08000019","",228,77.479118656091
"2009/10","S08000019","",246,85.7146192985399
"2010/11","S08000019","",252,85.1864810860722
"2011/12","S08000019","",201,67.707535397732
"2012/13","S08000019","",213,72.8046218528599
"2013/14","S08000019","",270,92.8464585211296
"2014/15","S08000019","",294,101.68386403596
"2015/16","S08000019","",387,134.2333673079
"2016/17","S08000019","",408,140.506983139663
"2017/18","S08000019","",522,181.748144766085
"2018/19","S08000019","",552,193.066509080345
"2019/20","S08000019","",783,274.819836272516
"2020/21","S08000019","",753,269.372805818195
"2021/22","S08000019","",702,249.55981996373
"2022/23","S08000019","",486,171.767980772508
"2023/24","S08000019","",504,177.65790037039
"1996/97","S08000020","",360,56.8867499609823
"1997/98","S08000020","",396,63.2493219559215
"1998/99","S08000020","",414,67.7513293416906
"1999/00","S08000020","",501,82.3229198016192
"2000/01","S08000020","",498,83.6143466610115
"2001/02","S08000020","",510,87.3321730432217
"2002/03","S08000020","",540,93.0495179209719
"2003/04","S08000020","",519,90.3421156722912
"2004/05","S08000020","",594,104.379124324036
"2005/06","S08000020","",537,93.7994344622666
"2006/07","S08000020","",633,110.563112209012
"2007/08","S08000020","",702,120.791834442852
"2008/09","S08000020","",771,131.326783465038
"2009/10","S08000020","",819,139.498693350067
"2010/11","S08000020","",750,126.87816153765
"2011/12","S08000020","",660,111.922615406627
"2012/13","S08000020","",564,96.1067682732527
"2013/14","S08000020","",600,101.982722499923
"2014/15","S08000020","",558,94.7394181471853
"2015/16","S08000020","",624,105.672268912072
"2016/17","S08000020","",633,108.053802527407
"2017/18","S08000020","",705,122.59980199235
"2018/19","S08000020","",675,118.005707634024
"2019/20","S08000020","",711,126.217610823777
"2020/21","S08000020","",720,128.181661937168
"2021/22","S08000020","",582,103.913418758451
"2022/23","S08000020","",615,108.842143388757
"2023/24","S08000020","",666,118.237704501348
"1996/97","S08000031","",1191,86.783971354165
"1997/98","S08000031","",1305,98.7302118566212
"1998/99","S08000031","",1803,137.907988282509
"1999/00","S08000031","",1911,149.07150392564
"2000/01","S08000031","",2109,167.629614658231
"2001/02","S08000031","",2094,166.806034668553
"2002/03","S08000031","",2187,177.74066518659
"2003/04","S08000031","",1860,154.244290223804
"2004/05","S08000031","",1719,144.622052844593
"2005/06","S08000031","",1470,124.52314302613
"2006/07","S08000031","",1668,141.854758850988
"2007/08","S08000031","",1923,163.228347737139
"2008/09","S08000031","",1935,165.330063610828
"2009/10","S08000031","",1923,165.024466163895
"2010/11","S08000031","",2088,179.166788945462
"2011/12","S08000031","",1950,165.068642190666
"2012/13","S08000031","",1668,144.030407662038
"2013/14","S08000031","",1836,159.761175795277
"2014/15","S08000031","",2028,175.591904828909
"2015/16","S08000031","",2460,214.489714164514
"2016/17","S08000031","",3027,264.594051974616
"2017/18","S08000031","",3108,271.241786912707
"2018/19","S08000031","",3228,282.149239544424
"2019/20","S08000031","",3681,320.047265533981
"2020/21","S08000031","",3573,310.325989235015
"2021/22","S08000031","",3135,275.952905214371
"2022/23","S08000031","",2001,173.647034225741
"2023/24","S08000031","",2436,207.918671625663
"1996/97","S08000022","",54,18.9332506952608
"1997/98","S08000022","",60,20.0612807745674
"1998/99","S08000022","",78,25.2334520085527
"1999/00","S08000022","",102,33.8041037723959
"2000/01","S08000022","",96,32.1374958766816
"2001/02","S08000022","",93,32.3100639010651
"2002/03","S08000022","",117,42.0834202802465
"2003/04","S08000022","",141,48.7041735345624
"2004/05","S08000022","",144,50.9419654794966
"2005/06","S08000022","",147,50.8804318344012
"2006/07","S08000022","",147,50.0327765545586
"2007/08","S08000022","",198,67.6928981918533
"2008/09","S08000022","",237,78.3141000805283
"2009/10","S08000022","",213,74.0410924275979
"2010/11","S08000022","",210,71.6834822892039
"2011/12","S08000022","",273,91.2115020776175
"2012/13","S08000022","",228,77.4158507828256
"2013/14","S08000022","",213,72.2137537985438
"2014/15","S08000022","",204,68.9938507201765
"2015/16","S08000022","",267,91.2786932131926
"2016/17","S08000022","",309,104.71624800101
"2017/18","S08000022","",354,120.573232741536
"2018/19","S08000022","",366,127.41900203362
"2019/20","S08000022","",432,152.26634425549
"2020/21","S08000022","",366,130.771912238858
"2021/22","S08000022","",354,124.382833250227
"2022/23","S08000022","",282,98.640900768371
"2023/24","S08000022","",330,113.011781216292
"1996/97","S08000032","",144,20.6904767397898
"1997/98","S08000032","",210,30.6751183935397
"1998/99","S08000032","",306,45.7920282828059
"1999/00","S08000032","",309,46.1068061112141
"2000/01","S08000032","",456,68.2206250931328
"2001/02","S08000032","",444,67.0293006165823
"2002/03","S08000032","",405,61.3091537759033
"2003/04","S08000032","",366,55.7529825343934
"2004/05","S08000032","",324,49.9210856739755
"2005/06","S08000032","",360,54.8250215448253
"2006/07","S08000032","",384,58.6348973521406
"2007/08","S08000032","",429,65.0391970147152
"2008/09","S08000032","",423,64.5816405101095
"2009/10","S08000032","",366,56.0933576542726
"2010/11","S08000032","",402,62.2387935777876
"2011/12","S08000032","",501,77.9005244690947
"2012/13","S08000032","",537,83.9170255304661
"2013/14","S08000032","",618,95.2336721410072
"2014/15","S08000032","",681,105.952009985013
"2015/16","S08000032","",888,138.23855363333
"2016/17","S08000032","",990,155.551926587572
"2017/18","S08000032","",1197,187.345955304179
"2018/19","S08000032","",1386,220.122737879635
"2019/20","S08000032","",1617,253.983680149268
"2020/21","S08000032","",1476,231.761644760624
"2021/22","S08000032","",1287,202.356060976994
"2022/23","S08000032","",867,135.796747888002
"2023/24","S08000032","",1065,166.009654154667
"1996/97","S08000024","",534,59.2928625437754
"1997/98","S08000024","",630,69.420875739538
"1998/99","S08000024","",573,62.8524628276461
"1999/00","S08000024","",621,68.6753783479438
"2000/01","S08000024","",570,62.3619605850892
"2001/02","S08000024","",696,76.8457722388281
"2002/03","S08000024","",660,73.6240507435258
"2003/04","S08000024","",747,85.2060433805646
"2004/05","S08000024","",768,87.1673472550328
"2005/06","S08000024","",903,103.408437065968
"2006/07","S08000024","",972,109.42154214177
"2007/08","S08000024","",1050,116.69428964613
"2008/09","S08000024","",1101,121.610068077927
"2009/10","S08000024","",945,105.280956717665
"2010/11","S08000024","",1137,125.935092059939
"2011/12","S08000024","",1254,137.413872041212
"2012/13","S08000024","",1149,128.04140854747
"2013/14","S08000024","",1308,146.133429990362
"2014/15","S08000024","",1665,184.566149522803
"2015/16","S08000024","",1395,155.455986193482
"2016/17","S08000024","",1308,146.004767209049
"2017/18","S08000024","",1479,163.876506481974
"2018/19","S08000024","",1626,179.071951456989
"2019/20","S08000024","",1866,204.260155137856
"2020/21","S08000024","",2073,225.949028500566
"2021/22","S08000024","",1548,170.606167799945
"2022/23","S08000024","",1176,130.064695225248
"2023/24","S08000024","",1308,142.353545904073
"1996/97","S08000025","",0,0
"1997/98","S08000025","",0,0
"1998/99","S08000025","",0,0
"1999/00","S08000025","",0,0
"2000/01","S08000025","",0,0
"2001/02","S08000025","",0,0
"2002/03","S08000025","",6,33.0522419211446
"2003/04","S08000025","",6,31.6286399058723
"2004/05","S08000025","",6,33.5243355425034
"2005/06","S08000025","",0,0
"2006/07","S08000025","",3,13.9442086451371
"2007/08","S08000025","",3,19.3225330284849
"2008/09","S08000025","",3,15.5307593561766
"2009/10","S08000025","",3,18.3249097164832
"2010/11","S08000025","",9,39.7026211772764
"2011/12","S08000025","",6,25.0937120295812
"2012/13","S08000025","",9,43.7250746432861
"2013/14","S08000025","",15,71.1605000990571
"2014/15","S08000025","",15,68.3267026594173
"2015/16","S08000025","",9,40.3417865900571
"2016/17","S08000025","",6,35.8818254513931
"2017/18","S08000025","",15,65.4369615922319
"2018/19","S08000025","",21,104.87081148928
"2019/20","S08000025","",15,77.1165920540433
"2020/21","S08000025","",24,123.021835945035
"2021/22","S08000025","",9,50.1799028652044
"2022/23","S08000025","",6,37.136572685429
"2023/24","S08000025","",9,49.8218949827533
"1996/97","S08000026","",12,44.1240145547812
"1997/98","S08000026","",12,43.5800986036419
"1998/99","S08000026","",9,39.9699754689256
"1999/00","S08000026","",9,31.4381013174374
"2000/01","S08000026","",0,0
"2001/02","S08000026","",9,38.0973079206704
"2002/03","S08000026","",9,35.0471925804796
"2003/04","S08000026","",6,24.3621700146364
"2004/05","S08000026","",12,54.2851395080734
"2005/06","S08000026","",27,116.89489491152
"2006/07","S08000026","",18,86.5621362750539
"2007/08","S08000026","",30,143.755131363266
"2008/09","S08000026","",45,200.117111993969
"2009/10","S08000026","",33,149.478800513132
"2010/11","S08000026","",36,160.480962591692
"2011/12","S08000026","",21,89.3999481974454
"2012/13","S08000026","",18,76.2885426290936
"2013/14","S08000026","",27,116.60317883472
"2014/15","S08000026","",21,91.3848706380911
"2015/16","S08000026","",27,116.836785225549
"2016/17","S08000026","",27,118.024454895964
"2017/18","S08000026","",18,80.9775581000809
"2018/19","S08000026","",30,141.488588924455
"2019/20","S08000026","",27,125.144697672209
"2020/21","S08000026","",33,163.729333633115
"2021/22","S08000026","",30,137.789141896749
"2022/23","S08000026","",24,116.263373657775
"2023/24","S08000026","",30,134.983625548581
"1996/97","S08000030","",159,36.1958210207333
"1997/98","S08000030","",198,46.7224824229656
"1998/99","S08000030","",168,40.9135588203069
"1999/00","S08000030","",189,46.1169459264071
"2000/01","S08000030","",198,50.2314219062536
"2001/02","S08000030","",171,43.5929701433947
"2002/03","S08000030","",246,64.0269478250427
"2003/04","S08000030","",210,55.3254252754123
"2004/05","S08000030","",192,50.4125347326954
"2005/06","S08000030","",210,55.1066738236755
"2006/07","S08000030","",258,67.4671318014342
"2007/08","S08000030","",318,82.8056275454905
"2008/09","S08000030","",438,112.261302165151
"2009/10","S08000030","",498,126.329774039885
"2010/11","S08000030","",561,145.219948434479
"2011/12","S08000030","",570,146.371598783896
"2012/13","S08000030","",522,134.497306982454
"2013/14","S08000030","",612,159.854873894537
"2014/15","S08000030","",624,162.496386841363
"2015/16","S08000030","",594,154.465411968728
"2016/17","S08000030","",597,157.436079989146
"2017/18","S08000030","",747,197.068653371534
"2018/19","S08000030","",978,262.04413071888
"2019/20","S08000030","",1113,295.313428574418
"2020/21","S08000030","",1023,273.348955906097
"2021/22","S08000030","",1032,279.362169536
"2022/23","S08000030","",840,225.57475422386
"2023/24","S08000030","",942,247.431403228168
"1996/97","S08000028","",3,11.2713675213675
"1997/98","S08000028","",0,0
"1998/99","S08000028","",3,14.5857995697611
"1999/00","S08000028","",9,34.6776003531817
"2000/01","S08000028","",6,22.0609893404582
"2001/02","S08000028","",6,28.1915189436958
"2002/03","S08000028","",9,40.8293085556714
"2003/04","S08000028","",12,58.4447626923715
"2004/05","S08000028","",15,58.9932945988285
"2005/06","S08000028","",12,43.9653794423321
"2006/07","S08000028","",12,42.1447920879358
"2007/08","S08000028","",9,44.1662651913478
"2008/09","S08000028","",6,28.2931774368578
"2009/10","S08000028","",6,25.7877754716393
"2010/11","S08000028","",9,32.7919200513566
"2011/12","S08000028","",12,50.7274342815089
"2012/13","S08000028","",9,44.171344862402
"2013/14","S08000028","",12,52.2201674041683
"2014/15","S08000028","",15,62.0090819022487
"2015/16","S08000028","",9,35.8898803056297
"2016/17","S08000028","",9,34.8850775102957
"2017/18","S08000028","",6,26.9999757541102
"2018/19","S08000028","",18,74.3998450241712
"2019/20","S08000028","",21,92.9686286661984
"2020/21","S08000028","",30,156.054672469368
"2021/22","S08000028","",27,116.964856262725
"2022/23","S08000028","",24,135.050501921743
"2023/24","S08000028","",24,123.578279860983
